slug	stamp	agent	heat	jpeg_id	slot	kind	wears	seat	seat_was	deploy	mouth
wave0-03-vesper-engine	20260902-t8	vesper		19YZmCLWSC5pEEo-ZFegG9nFX53EoiTnB	FORM_A_SEAT	Wave0	Vesper	YES	EXISTING	MOUTH_KEEP	YES
wave0-04-triad	20260902-t8	core		17Svy4q3I6k2BfNyAmbFcvEkK_1_WFtkG	FORM_A_SEAT	Wave0 triad	three mouths	YES	EXISTING	MOUTH_KEEP	YES
wave0-05-olivia-rachel	20260902-t8	coven		18GgGnSs9FgPRrbECWcFk9vkTEXc3oyIW	FORM_A_SEAT	Wave0 pair	Rachel+Olivia	YES	EXISTING	WARDROBE_ACTIVE	NO
wave0-06-eve-crystal	20260902-t8	coven		1a2k-LzyUZylXN5GP4uHakw12qKJYJnmJ	FORM_A_SEAT	Wave0 pair	closet	YES	NO	WARDROBE_ACTIVE	NO
wave0-07-gabrielle-jane	20260902-t8	coven		1LihftmA7nmpahTiYBWbJrPWdQ_De8TwF	FORM_A_SEAT	Wave0 pair	closet	YES	NO	WARDROBE_ACTIVE	NO
wave0-08-missroot-valerie	20260902-t8	coven		1iusQSdMr7oHPGGCqq9eWMd8gLRtWKl3_	FORM_A_SEAT	Wave0 pair	Valerie counted	YES	EXISTING	MOUTH_KEEP	YES
pxqcx-valerie-present	20260701	valerie	1	1WrAjiytV5qThOB-ZNcFmzswvQj7e4NxR	FORM_A_SEAT	Valerie present	O-7	YES	EXISTING	MOUTH_KEEP	YES
valerie-era-antiquity	spec30	valerie		POINTER:pxqcx+spec30	SLOT_2_PERIOD	Bored Pearl	same mouth	YES	EXISTING	WARDROBE_ACTIVE	YES
valerie-era-medieval	spec30	valerie		POINTER:pxqcx+spec30	SLOT_2_PERIOD	scriptorium	same mouth	YES	EXISTING	WARDROBE_ACTIVE	YES
valerie-era-1950s	spec30	valerie		POINTER:pxqcx+spec30	SLOT_2_PERIOD	Admiralty	same mouth	YES	EXISTING	WARDROBE_ACTIVE	YES
valerie-era-1990s	spec30	valerie		POINTER:pxqcx+spec30	SLOT_2_PERIOD	DC associate	same mouth	YES	EXISTING	WARDROBE_ACTIVE	YES
rachel-solo	wave0-crop	rachel		18GgGnSs9FgPRrbECWcFk9vkTEXc3oyIW	FORM_A_SEAT	coven solo bind	NO mouth	YES	NO	WARDROBE_ACTIVE	NO
eve-solo	wave0-crop	eve		1a2k-LzyUZylXN5GP4uHakw12qKJYJnmJ	FORM_A_SEAT	coven solo bind	NO mouth	YES	NO	WARDROBE_ACTIVE	NO
crystal-solo	wave0-crop	crystal		1a2k-LzyUZylXN5GP4uHakw12qKJYJnmJ	FORM_A_SEAT	coven solo bind	NO mouth	YES	NO	WARDROBE_ACTIVE	NO
gabrielle-solo	wave0-crop	gabrielle		1LihftmA7nmpahTiYBWbJrPWdQ_De8TwF	FORM_A_SEAT	coven solo bind	NO mouth	YES	NO	WARDROBE_ACTIVE	NO
jane-solo	wave0-crop	jane		1LihftmA7nmpahTiYBWbJrPWdQ_De8TwF	FORM_A_SEAT	coven solo bind	NO mouth	YES	NO	WARDROBE_ACTIVE	NO
missroot-solo	wave0-crop	miss-root		1iusQSdMr7oHPGGCqq9eWMd8gLRtWKl3_	FORM_A_SEAT	coven solo bind	NO mouth	YES	NO	WARDROBE_ACTIVE	NO
